cancer_site,state,count,population,crude_rate_100k
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Nebraska,109,11903430,0.9199999999999999
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Nevada,140,16014625,0.87
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),New Hampshire,85,7453487,1.1400000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),New Jersey,565,52654520,1.07
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),New Mexico,114,12904509,0.8800000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),New York,1273,113517852,1.1199999999999999
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),North Carolina,557,56649928,0.9800000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),North Dakota,29,4266274,0.68
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Ohio,591,70366333,0.8400000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Oklahoma,193,23756620,0.81
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Oregon,213,22097759,0.96
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Pennsylvania,645,72683727,0.8900000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Rhode Island,40,6082080,0.66
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),South Carolina,253,27583495,0.9199999999999999
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),South Dakota,42,4834317,0.87
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Tennessee,339,37884392,0.8900000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Texas,1546,172599550,0.9
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Utah,219,21588203,1.01
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Vermont,28,3490801,0.8
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Virginia,417,47413830,0.8800000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Washington,388,40520105,0.96
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),West Virginia,80,9950567,0.8
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Wisconsin,291,34329682,0.8500000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Wyoming,19,3396153,0.5599999999999999
II(c) Burkitt lymphoma,Alabama,61,28877079,0.21000000000000002
II(c) Burkitt lymphoma,Arizona,98,39775657,0.25
II(c) Burkitt lymphoma,Arkansas,31,17898158,0.17
II(c) Burkitt lymphoma,California,525,236070538,0.22000000000000003
II(c) Burkitt lymphoma,Colorado,91,30887289,0.29
II(c) Burkitt lymphoma,Connecticut,70,20830240,0.34
II(c) Burkitt lymphoma,Florida,285,102863635,0.27999999999999997
II(c) Burkitt lymphoma,Georgia,139,62011319,0.22000000000000003
II(c) Burkitt lymphoma,Hawaii,17,7747695,0.22000000000000003
II(c) Burkitt lymphoma,Idaho,23,10734756,0.21000000000000002
II(c) Burkitt lymphoma,Illinois,172,79093866,0.22000000000000003
II(c) Burkitt lymphoma,Indiana,89,37414578,0.24
II(c) Burkitt lymphoma,Iowa,53,18924991,0.27999999999999997
II(c) Burkitt lymphoma,Kansas,64,18406535,0.35000000000000003
II(c) Burkitt lymphoma,Kentucky,93,25974328,0.36000000000000004
II(c) Burkitt lymphoma,Louisiana,68,29086064,0.22999999999999998
II(c) Burkitt lymphoma,Maine,19,7144119,0.27
II(c) Burkitt lymphoma,Maryland,58,34984232,0.17
II(c) Burkitt lymphoma,Massachusetts,112,37580693,0.30000000000000004
II(c) Burkitt lymphoma,Michigan,176,61154757,0.29
II(c) Burkitt lymphoma,Minnesota,87,33142582,0.26
II(c) Burkitt lymphoma,Mississippi,28,15669603,0.18000000000000002
II(c) Burkitt lymphoma,Missouri,84,36266473,0.22999999999999998
II(c) Burkitt lymphoma,Montana,24,5846055,0.41
II(c) Burkitt lymphoma,Nebraska,34,11903430,0.29
II(c) Burkitt lymphoma,Nevada,37,16014625,0.22999999999999998
II(c) Burkitt lymphoma,New Jersey,152,52654520,0.29
II(c) Burkitt lymphoma,New Mexico,25,12904509,0.19
II(c) Burkitt lymphoma,New York,305,113517852,0.27
II(c) Burkitt lymphoma,North Carolina,136,56649928,0.24
II(c) Burkitt lymphoma,Ohio,205,70366333,0.29
II(c) Burkitt lymphoma,Oklahoma,60,23756620,0.25
II(c) Burkitt lymphoma,Oregon,65,22097759,0.29
II(c) Burkitt lymphoma,Pennsylvania,187,72683727,0.26
II(c) Burkitt lymphoma,Rhode Island,16,6082080,0.26
II(c) Burkitt lymphoma,South Carolina,60,27583495,0.22000000000000003
II(c) Burkitt lymphoma,Tennessee,87,37884392,0.22999999999999998
II(c) Burkitt lymphoma,Texas,358,172599550,0.21000000000000002
II(c) Burkitt lymphoma,Utah,66,21588203,0.31000000000000005
II(c) Burkitt lymphoma,Virginia,86,47413830,0.18000000000000002
II(c) Burkitt lymphoma,Washington,91,40520105,0.22000000000000003
II(c) Burkitt lymphoma,West Virginia,32,9950567,0.32000000000000006
II(c) Burkitt lymphoma,Wisconsin,99,34329682,0.29
II(d) Miscellaneous lymphoreticular neoplasms,Alabama,33,28877079,0.11000000000000001
II(d) Miscellaneous lymphoreticular neoplasms,Alaska,20,4720625,0.42000000000000004
II(d) Miscellaneous lymphoreticular neoplasms,Arizona,138,39775657,0.35000000000000003
II(d) Miscellaneous lymphoreticular neoplasms,Arkansas,45,17898158,0.25
II(d) Miscellaneous lymphoreticular neoplasms,California,718,236070538,0.30000000000000004
II(d) Miscellaneous lymphoreticular neoplasms,Colorado,93,30887289,0.30000000000000004
II(d) Miscellaneous lymphoreticular neoplasms,Connecticut,54,20830240,0.26
II(d) Miscellaneous lymphoreticular neoplasms,Delaware,21,5268436,0.4
II(d) Miscellaneous lymphoreticular neoplasms,Florida,270,102863635,0.26
II(d) Miscellaneous lymphoreticular neoplasms,Georgia,153,62011319,0.25
II(d) Miscellaneous lymphoreticular neoplasms,Hawaii,35,7747695,0.45
II(d) Miscellaneous lymphoreticular neoplasms,Idaho,27,10734756,0.25
II(d) Miscellaneous lymphoreticular neoplasms,Illinois,233,79093866,0.29
II(d) Miscellaneous lymphoreticular neoplasms,Indiana,93,37414578,0.25
II(d) Miscellaneous lymphoreticular neoplasms,Iowa,40,18924991,0.21000000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Kansas,65,18406535,0.35000000000000003
II(d) Miscellaneous lymphoreticular neoplasms,Kentucky,84,25974328,0.32000000000000006
II(d) Miscellaneous lymphoreticular neoplasms,Louisiana,61,29086064,0.21000000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Maryland,79,34984232,0.22999999999999998
II(d) Miscellaneous lymphoreticular neoplasms,Massachusetts,84,37580693,0.22000000000000003
II(d) Miscellaneous lymphoreticular neoplasms,Michigan,150,61154757,0.25
II(d) Miscellaneous lymphoreticular neoplasms,Minnesota,147,33142582,0.44000000000000006
II(d) Miscellaneous lymphoreticular neoplasms,Mississippi,37,15669603,0.24
II(d) Miscellaneous lymphoreticular neoplasms,Missouri,97,36266473,0.27
II(d) Miscellaneous lymphoreticular neoplasms,Nebraska,38,11903430,0.32000000000000006
II(d) Miscellaneous lymphoreticular neoplasms,Nevada,37,16014625,0.22999999999999998
II(d) Miscellaneous lymphoreticular neoplasms,New Hampshire,28,7453487,0.38
II(d) Miscellaneous lymphoreticular neoplasms,New Jersey,156,52654520,0.30000000000000004
II(d) Miscellaneous lymphoreticular neoplasms,New Mexico,30,12904509,0.22999999999999998
II(d) Miscellaneous lymphoreticular neoplasms,New York,333,113517852,0.29
II(d) Miscellaneous lymphoreticular neoplasms,North Carolina,130,56649928,0.22999999999999998
II(d) Miscellaneous lymphoreticular neoplasms,North Dakota,18,4266274,0.42000000000000004
II(d) Miscellaneous lymphoreticular neoplasms,Ohio,174,70366333,0.25
II(d) Miscellaneous lymphoreticular neoplasms,Oklahoma,63,23756620,0.27
II(d) Miscellaneous lymphoreticular neoplasms,Oregon,81,22097759,0.37000000000000005
II(d) Miscellaneous lymphoreticular neoplasms,Pennsylvania,182,72683727,0.25
II(d) Miscellaneous lymphoreticular neoplasms,South Carolina,53,27583495,0.19
II(d) Miscellaneous lymphoreticular neoplasms,Tennessee,100,37884392,0.26
II(d) Miscellaneous lymphoreticular neoplasms,Texas,703,172599550,0.41
II(d) Miscellaneous lymphoreticular neoplasms,Utah,69,21588203,0.32000000000000006
II(d) Miscellaneous lymphoreticular neoplasms,Virginia,105,47413830,0.22000000000000003
II(d) Miscellaneous lymphoreticular neoplasms,Washington,109,40520105,0.27
II(d) Miscellaneous lymphoreticular neoplasms,West Virginia,17,9950567,0.17
II(d) Miscellaneous lymphoreticular neoplasms,Wisconsin,93,34329682,0.27
II(e) Unspecified lymphomas,California,60,236070538,0.03
II(e) Unspecified lymphomas,Florida,59,102863635,0.06
II(e) Unspecified lymphomas,Georgia,26,62011319,0.04000000000000001
II(e) Unspecified lymphomas,Illinois,26,79093866,0.03
II(e) Unspecified lymphomas,Maryland,17,34984232,0.05
II(e) Unspecified lymphomas,Michigan,39,61154757,0.06
II(e) Unspecified lymphomas,Nebraska,0,11903430,0
II(e) Unspecified lymphomas,New Jersey,23,52654520,0.04000000000000001
II(e) Unspecified lymphomas,New York,34,113517852,0.03
II(e) Unspecified lymphomas,North Carolina,19,56649928,0.03
II(e) Unspecified lymphomas,Ohio,16,70366333,0.020000000000000004
II(e) Unspecified lymphomas,Pennsylvania,19,72683727,0.03
II(e) Unspecified lymphomas,Texas,116,172599550,0.06999999999999999
III CNS and misc intracranial and intraspinal neoplasms,Alabama,868,28877079,3.0100000000000002
III CNS and misc intracranial and intraspinal neoplasms,Alaska,121,4720625,2.5600000000000005
III CNS and misc intracranial and intraspinal neoplasms,Arizona,1166,39775657,2.93
III CNS and misc intracranial and intraspinal neoplasms,Arkansas,531,17898158,2.97
III CNS and misc intracranial and intraspinal neoplasms,California,6283,236070538,2.66
III CNS and misc intracranial and intraspinal neoplasms,Colorado,906,30887289,2.93
III CNS and misc intracranial and intraspinal neoplasms,Connecticut,689,20830240,3.3100000000000005
III CNS and misc intracranial and intraspinal neoplasms,Delaware,207,5268436,3.9299999999999997
III CNS and misc intracranial and intraspinal neoplasms,District of Columbia,83,3083338,2.69
III CNS and misc intracranial and intraspinal neoplasms,Florida,3521,102863635,3.4200000000000004
III CNS and misc intracranial and intraspinal neoplasms,Georgia,1877,62011319,3.0300000000000002
III CNS and misc intracranial and intraspinal neoplasms,Hawaii,170,7747695,2.19
III CNS and misc intracranial and intraspinal neoplasms,Idaho,331,10734756,3.08
III CNS and misc intracranial and intraspinal neoplasms,Illinois,2244,79093866,2.84
III CNS and misc intracranial and intraspinal neoplasms,Indiana,1263,37414578,3.38
III CNS and misc intracranial and intraspinal neoplasms,Iowa,638,18924991,3.3700000000000006
III CNS and misc intracranial and intraspinal neoplasms,Kansas,533,18406535,2.9000000000000004
III CNS and misc intracranial and intraspinal neoplasms,Kentucky,965,25974328,3.7200000000000006
III CNS and misc intracranial and intraspinal neoplasms,Louisiana,858,29086064,2.95
III CNS and misc intracranial and intraspinal neoplasms,Maine,263,7144119,3.6799999999999997
III CNS and misc intracranial and intraspinal neoplasms,Maryland,972,34984232,2.7800000000000002
III CNS and misc intracranial and intraspinal neoplasms,Massachusetts,1226,37580693,3.2600000000000002
III CNS and misc intracranial and intraspinal neoplasms,Michigan,1799,61154757,2.94
III CNS and misc intracranial and intraspinal neoplasms,Minnesota,995,33142582,3
III CNS and misc intracranial and intraspinal neoplasms,Mississippi,445,15669603,2.84
III CNS and misc intracranial and intraspinal neoplasms,Missouri,1182,36266473,3.2600000000000002
III CNS and misc intracranial and intraspinal neoplasms,Montana,171,5846055,2.93
III CNS and misc intracranial and intraspinal neoplasms,Nebraska,429,11903430,3.6
III CNS and misc intracranial and intraspinal neoplasms,Nevada,420,16014625,2.62
III CNS and misc intracranial and intraspinal neoplasms,New Hampshire,283,7453487,3.8000000000000003
III CNS and misc intracranial and intraspinal neoplasms,New Jersey,1802,52654520,3.4200000000000004
III CNS and misc intracranial and intraspinal neoplasms,New Mexico,282,12904509,2.19
III CNS and misc intracranial and intraspinal neoplasms,New York,3850,113517852,3.39
III CNS and misc intracranial and intraspinal neoplasms,North Carolina,1810,56649928,3.2
III CNS and misc intracranial and intraspinal neoplasms,North Dakota,125,4266274,2.93
III CNS and misc intracranial and intraspinal neoplasms,Ohio,2416,70366333,3.4299999999999997
III CNS and misc intracranial and intraspinal neoplasms,Oklahoma,696,23756620,2.93
III CNS and misc intracranial and intraspinal neoplasms,Oregon,753,22097759,3.41
III CNS and misc intracranial and intraspinal neoplasms,Pennsylvania,2703,72683727,3.7200000000000006
III CNS and misc intracranial and intraspinal neoplasms,Rhode Island,174,6082080,2.8600000000000003
III CNS and misc intracranial and intraspinal neoplasms,South Carolina,763,27583495,2.77
III CNS and misc intracranial and intraspinal neoplasms,South Dakota,127,4834317,2.6300000000000003
III CNS and misc intracranial and intraspinal neoplasms,Tennessee,1178,37884392,3.1100000000000003
III CNS and misc intracranial and intraspinal neoplasms,Texas,5542,172599550,3.2100000000000004
III CNS and misc intracranial and intraspinal neoplasms,Utah,724,21588203,3.35
III CNS and misc intracranial and intraspinal neoplasms,Vermont,92,3490801,2.64
III CNS and misc intracranial and intraspinal neoplasms,Virginia,1343,47413830,2.83
III CNS and misc intracranial and intraspinal neoplasms,Washington,1515,40520105,3.74
III CNS and misc intracranial and intraspinal neoplasms,West Virginia,362,9950567,3.64
III CNS and misc intracranial and intraspinal neoplasms,Wisconsin,1108,34329682,3.23
III CNS and misc intracranial and intraspinal neoplasms,Wyoming,90,3396153,2.6500000000000004
III(a) Ependymomas and choroid plexus tumor,Alabama,73,28877079,0.25
III(a) Ependymomas and choroid plexus tumor,Arizona,94,39775657,0.24
III(a) Ependymomas and choroid plexus tumor,Arkansas,30,17898158,0.17
III(a) Ependymomas and choroid plexus tumor,California,615,236070538,0.26
III(a) Ependymomas and choroid plexus tumor,Colorado,81,30887289,0.26
III(a) Ependymomas and choroid plexus tumor,Connecticut,61,20830240,0.29
III(a) Ependymomas and choroid plexus tumor,Florida,262,102863635,0.25
III(a) Ependymomas and choroid plexus tumor,Georgia,154,62011319,0.25
III(a) Ependymomas and choroid plexus tumor,Hawaii,16,7747695,0.21000000000000002
III(a) Ependymomas and choroid plexus tumor,Idaho,29,10734756,0.27
III(a) Ependymomas and choroid plexus tumor,Illinois,189,79093866,0.24
III(a) Ependymomas and choroid plexus tumor,Indiana,101,37414578,0.27
III(a) Ependymomas and choroid plexus tumor,Iowa,42,18924991,0.22000000000000003
III(a) Ependymomas and choroid plexus tumor,Kansas,45,18406535,0.24
III(a) Ependymomas and choroid plexus tumor,Kentucky,65,25974328,0.25
III(a) Ependymomas and choroid plexus tumor,Louisiana,67,29086064,0.22999999999999998
III(a) Ependymomas and choroid plexus tumor,Maine,16,7144119,0.22000000000000003
III(a) Ependymomas and choroid plexus tumor,Maryland,76,34984232,0.22000000000000003
III(a) Ependymomas and choroid plexus tumor,Massachusetts,104,37580693,0.27999999999999997
III(a) Ependymomas and choroid plexus tumor,Michigan,142,61154757,0.22999999999999998
III(a) Ependymomas and choroid plexus tumor,Minnesota,100,33142582,0.30000000000000004
III(a) Ependymomas and choroid plexus tumor,Mississippi,34,15669603,0.22000000000000003
III(a) Ependymomas and choroid plexus tumor,Missouri,124,36266473,0.34
III(a) Ependymomas and choroid plexus tumor,Montana,18,5846055,0.31000000000000005
III(a) Ependymomas and choroid plexus tumor,Nebraska,25,11903430,0.21000000000000002
III(a) Ependymomas and choroid plexus tumor,Nevada,44,16014625,0.27
III(a) Ependymomas and choroid plexus tumor,New Hampshire,25,7453487,0.34
III(a) Ependymomas and choroid plexus tumor,New Jersey,146,52654520,0.27999999999999997
III(a) Ependymomas and choroid plexus tumor,New Mexico,31,12904509,0.24
III(a) Ependymomas and choroid plexus tumor,New York,296,113517852,0.26
III(a) Ependymomas and choroid plexus tumor,North Carolina,152,56649928,0.27
III(a) Ependymomas and choroid plexus tumor,Ohio,196,70366333,0.27999999999999997
III(a) Ependymomas and choroid plexus tumor,Oklahoma,59,23756620,0.25
III(a) Ependymomas and choroid plexus tumor,Oregon,64,22097759,0.29
III(a) Ependymomas and choroid plexus tumor,Pennsylvania,180,72683727,0.25
III(a) Ependymomas and choroid plexus tumor,Rhode Island,17,6082080,0.27999999999999997
III(a) Ependymomas and choroid plexus tumor,South Carolina,60,27583495,0.22000000000000003
III(a) Ependymomas and choroid plexus tumor,Tennessee,84,37884392,0.22000000000000003
III(a) Ependymomas and choroid plexus tumor,Texas,498,172599550,0.29
III(a) Ependymomas and choroid plexus tumor,Utah,72,21588203,0.33
III(a) Ependymomas and choroid plexus tumor,Virginia,117,47413830,0.25
III(a) Ependymomas and choroid plexus tumor,Washington,115,40520105,0.27999999999999997
III(a) Ependymomas and choroid plexus tumor,West Virginia,22,9950567,0.22000000000000003
III(a) Ependymomas and choroid plexus tumor,Wisconsin,89,34329682,0.26
III(b) Astrocytomas,Alabama,390,28877079,1.35
III(b) Astrocytomas,Alaska,59,4720625,1.25
III(b) Astrocytomas,Arizona,582,39775657,1.46
III(b) Astrocytomas,Arkansas,270,17898158,1.51
III(b) Astrocytomas,California,3045,236070538,1.29
III(b) Astrocytomas,Colorado,449,30887289,1.4500000000000002
III(b) Astrocytomas,Connecticut,345,20830240,1.6600000000000001
III(b) Astrocytomas,Delaware,99,5268436,1.8800000000000001
III(b) Astrocytomas,District of Columbia,38,3083338,1.2300000000000002
III(b) Astrocytomas,Florida,1769,102863635,1.72
III(b) Astrocytomas,Georgia,973,62011319,1.57
III(b) Astrocytomas,Hawaii,68,7747695,0.8800000000000001
III(b) Astrocytomas,Idaho,175,10734756,1.6300000000000001
III(b) Astrocytomas,Illinois,1151,79093866,1.46
III(b) Astrocytomas,Indiana,624,37414578,1.67
III(b) Astrocytomas,Iowa,330,18924991,1.74
III(b) Astrocytomas,Kansas,278,18406535,1.51
III(b) Astrocytomas,Kentucky,520,25974328,2
III(b) Astrocytomas,Louisiana,432,29086064,1.4900000000000002
III(b) Astrocytomas,Maine,143,7144119,2
III(b) Astrocytomas,Maryland,487,34984232,1.3900000000000001
III(b) Astrocytomas,Massachusetts,581,37580693,1.55
III(b) Astrocytomas,Michigan,887,61154757,1.4500000000000002
III(b) Astrocytomas,Minnesota,571,33142582,1.72
III(b) Astrocytomas,Mississippi,226,15669603,1.4400000000000002
III(b) Astrocytomas,Missouri,601,36266473,1.6600000000000001
III(b) Astrocytomas,Montana,90,5846055,1.54
III(b) Astrocytomas,Nebraska,223,11903430,1.87
III(b) Astrocytomas,Nevada,208,16014625,1.3
III(b) Astrocytomas,New Hampshire,146,7453487,1.9600000000000002
III(b) Astrocytomas,New Jersey,923,52654520,1.75
III(b) Astrocytomas,New Mexico,136,12904509,1.05
III(b) Astrocytomas,New York,2063,113517852,1.82
III(b) Astrocytomas,North Carolina,968,56649928,1.7100000000000002
III(b) Astrocytomas,North Dakota,63,4266274,1.4800000000000002
III(b) Astrocytomas,Ohio,1240,70366333,1.7600000000000002
III(b) Astrocytomas,Oklahoma,315,23756620,1.33
III(b) Astrocytomas,Oregon,384,22097759,1.74
III(b) Astrocytomas,Pennsylvania,1446,72683727,1.99
III(b) Astrocytomas,Rhode Island,102,6082080,1.6800000000000002
III(b) Astrocytomas,South Carolina,397,27583495,1.4400000000000002
III(b) Astrocytomas,South Dakota,66,4834317,1.37
III(b) Astrocytomas,Tennessee,620,37884392,1.64
III(b) Astrocytomas,Texas,2677,172599550,1.55
III(b) Astrocytomas,Utah,372,21588203,1.72
III(b) Astrocytomas,Vermont,39,3490801,1.1199999999999999
III(b) Astrocytomas,Virginia,678,47413830,1.4300000000000002
III(b) Astrocytomas,Washington,730,40520105,1.8
III(b) Astrocytomas,West Virginia,187,9950567,1.8800000000000001
III(b) Astrocytomas,Wisconsin,582,34329682,1.7000000000000002
III(b) Astrocytomas,Wyoming,43,3396153,1.27
III(c) Intracranial and intraspinal embryonal tumors,Alabama,142,28877079,0.49000000000000005
III(c) Intracranial and intraspinal embryonal tumors,Alaska,24,4720625,0.51
III(c) Intracranial and intraspinal embryonal tumors,Arizona,254,39775657,0.6400000000000001
III(c) Intracranial and intraspinal embryonal tumors,Arkansas,109,17898158,0.61
III(c) Intracranial and intraspinal embryonal tumors,California,1434,236070538,0.61
III(c) Intracranial and intraspinal embryonal tumors,Colorado,180,30887289,0.58
III(c) Intracranial and intraspinal embryonal tumors,Connecticut,102,20830240,0.49000000000000005
III(c) Intracranial and intraspinal embryonal tumors,Delaware,41,5268436,0.78
III(c) Intracranial and intraspinal embryonal tumors,District of Columbia,20,3083338,0.65
III(c) Intracranial and intraspinal embryonal tumors,Florida,657,102863635,0.6400000000000001
III(c) Intracranial and intraspinal embryonal tumors,Georgia,361,62011319,0.58
III(c) Intracranial and intraspinal embryonal tumors,Hawaii,52,7747695,0.67
III(c) Intracranial and intraspinal embryonal tumors,Idaho,62,10734756,0.58
III(c) Intracranial and intraspinal embryonal tumors,Illinois,471,79093866,0.6000000000000001
III(c) Intracranial and intraspinal embryonal tumors,Indiana,244,37414578,0.65
III(c) Intracranial and intraspinal embryonal tumors,Iowa,129,18924991,0.68
III(c) Intracranial and intraspinal embryonal tumors,Kansas,97,18406535,0.53
III(c) Intracranial and intraspinal embryonal tumors,Kentucky,162,25974328,0.6200000000000001
III(c) Intracranial and intraspinal embryonal tumors,Louisiana,168,29086064,0.58
III(c) Intracranial and intraspinal embryonal tumors,Maine,51,7144119,0.71
III(c) Intracranial and intraspinal embryonal tumors,Maryland,188,34984232,0.54
III(c) Intracranial and intraspinal embryonal tumors,Massachusetts,210,37580693,0.5599999999999999
III(c) Intracranial and intraspinal embryonal tumors,Michigan,364,61154757,0.6000000000000001
III(c) Intracranial and intraspinal embryonal tumors,Minnesota,187,33142582,0.5599999999999999
III(c) Intracranial and intraspinal embryonal tumors,Mississippi,89,15669603,0.5700000000000001
III(c) Intracranial and intraspinal embryonal tumors,Missouri,228,36266473,0.63
III(c) Intracranial and intraspinal embryonal tumors,Montana,33,5846055,0.5599999999999999
III(c) Intracranial and intraspinal embryonal tumors,Nebraska,89,11903430,0.75
III(c) Intracranial and intraspinal embryonal tumors,Nevada,91,16014625,0.5700000000000001
III(c) Intracranial and intraspinal embryonal tumors,New Hampshire,49,7453487,0.66
III(c) Intracranial and intraspinal embryonal tumors,New Jersey,319,52654520,0.61
III(c) Intracranial and intraspinal embryonal tumors,New Mexico,58,12904509,0.45
III(c) Intracranial and intraspinal embryonal tumors,New York,664,113517852,0.58
III(c) Intracranial and intraspinal embryonal tumors,North Carolina,313,56649928,0.55
III(c) Intracranial and intraspinal embryonal tumors,North Dakota,34,4266274,0.8
III(c) Intracranial and intraspinal embryonal tumors,Ohio,422,70366333,0.6000000000000001
III(c) Intracranial and intraspinal embryonal tumors,Oklahoma,160,23756620,0.67
III(c) Intracranial and intraspinal embryonal tumors,Oregon,151,22097759,0.68
III(c) Intracranial and intraspinal embryonal tumors,Pennsylvania,419,72683727,0.58
III(c) Intracranial and intraspinal embryonal tumors,Rhode Island,27,6082080,0.44000000000000006
III(c) Intracranial and intraspinal embryonal tumors,South Carolina,143,27583495,0.52
III(c) Intracranial and intraspinal embryonal tumors,South Dakota,23,4834317,0.48
III(c) Intracranial and intraspinal embryonal tumors,Tennessee,227,37884392,0.6000000000000001
III(c) Intracranial and intraspinal embryonal tumors,Texas,1019,172599550,0.5900000000000001
III(c) Intracranial and intraspinal embryonal tumors,Utah,150,21588203,0.6900000000000001
III(c) Intracranial and intraspinal embryonal tumors,Vermont,22,3490801,0.63
III(c) Intracranial and intraspinal embryonal tumors,Virginia,265,47413830,0.5599999999999999
III(c) Intracranial and intraspinal embryonal tumors,Washington,270,40520105,0.67
III(c) Intracranial and intraspinal embryonal tumors,West Virginia,80,9950567,0.8
III(c) Intracranial and intraspinal embryonal tumors,Wisconsin,184,34329682,0.54
III(c) Intracranial and intraspinal embryonal tumors,Wyoming,22,3396153,0.65
III(d) Other gliomas,Alabama,127,28877079,0.44000000000000006
III(d) Other gliomas,Alaska,27,4720625,0.5700000000000001
III(d) Other gliomas,Arizona,196,39775657,0.49000000000000005
III(d) Other gliomas,Arkansas,92,17898158,0.51
III(d) Other gliomas,California,1013,236070538,0.43
III(d) Other gliomas,Colorado,160,30887289,0.52
III(d) Other gliomas,Connecticut,159,20830240,0.76
III(d) Other gliomas,Delaware,48,5268436,0.91
III(d) Other gliomas,District of Columbia,16,3083338,0.52
III(d) Other gliomas,Florida,677,102863635,0.66
III(d) Other gliomas,Georgia,332,62011319,0.54
III(d) Other gliomas,Hawaii,29,7747695,0.37000000000000005
III(d) Other gliomas,Idaho,56,10734756,0.52
III(d) Other gliomas,Illinois,365,79093866,0.45999999999999996
III(d) Other gliomas,Indiana,254,37414578,0.68
III(d) Other gliomas,Iowa,116,18924991,0.61
III(d) Other gliomas,Kansas,91,18406535,0.49000000000000005
III(d) Other gliomas,Kentucky,197,25974328,0.76
III(d) Other gliomas,Louisiana,146,29086064,0.5
III(d) Other gliomas,Maine,46,7144119,0.6400000000000001
III(d) Other gliomas,Maryland,164,34984232,0.47000000000000003
III(d) Other gliomas,Massachusetts,284,37580693,0.76
III(d) Other gliomas,Michigan,330,61154757,0.54
III(d) Other gliomas,Minnesota,111,33142582,0.33
III(d) Other gliomas,Mississippi,79,15669603,0.5
III(d) Other gliomas,Missouri,197,36266473,0.54
III(d) Other gliomas,Montana,28,5846055,0.48
III(d) Other gliomas,Nebraska,77,11903430,0.65
III(d) Other gliomas,Nevada,55,16014625,0.34
III(d) Other gliomas,New Hampshire,55,7453487,0.7400000000000001
III(d) Other gliomas,New Jersey,363,52654520,0.6900000000000001
III(d) Other gliomas,New Mexico,50,12904509,0.39
III(d) Other gliomas,New York,688,113517852,0.61
III(d) Other gliomas,North Carolina,320,56649928,0.5599999999999999
III(d) Other gliomas,North Dakota,16,4266274,0.38
III(d) Other gliomas,Ohio,492,70366333,0.7000000000000001
III(d) Other gliomas,Oklahoma,118,23756620,0.5
III(d) Other gliomas,Oregon,137,22097759,0.6200000000000001
III(d) Other gliomas,Pennsylvania,576,72683727,0.79
III(d) Other gliomas,Rhode Island,20,6082080,0.33
III(d) Other gliomas,South Carolina,131,27583495,0.47000000000000003
III(d) Other gliomas,South Dakota,25,4834317,0.52
III(d) Other gliomas,Tennessee,202,37884392,0.53
III(d) Other gliomas,Texas,1081,172599550,0.63
III(d) Other gliomas,Utah,118,21588203,0.55
III(d) Other gliomas,Vermont,17,3490801,0.49000000000000005
III(d) Other gliomas,Virginia,235,47413830,0.5
III(d) Other gliomas,Washington,365,40520105,0.9
III(d) Other gliomas,West Virginia,68,9950567,0.68
III(d) Other gliomas,Wisconsin,206,34329682,0.6000000000000001
III(e) Other specified intracranial/intraspinal neoplasms,Alabama,28,28877079,0.1
III(e) Other specified intracranial/intraspinal neoplasms,Arizona,20,39775657,0.05
III(e) Other specified intracranial/intraspinal neoplasms,Arkansas,19,17898158,0.11000000000000001
III(e) Other specified intracranial/intraspinal neoplasms,California,132,236070538,0.06
III(e) Other specified intracranial/intraspinal neoplasms,District of Columbia,0,3083338,0
III(e) Other specified intracranial/intraspinal neoplasms,Florida,96,102863635,0.09000000000000001
III(e) Other specified intracranial/intraspinal neoplasms,Georgia,32,62011319,0.05
III(e) Other specified intracranial/intraspinal neoplasms,Illinois,48,79093866,0.06
III(e) Other specified intracranial/intraspinal neoplasms,Indiana,28,37414578,0.06999999999999999
