cancer_site,state,age_group,count,population,crude_rate_100k
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Oregon,1-4 years,24,4209979,0.5700000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Oregon,10-14 years,55,5655555,0.97
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Oregon,15-19 years,86,5791934,1.4800000000000002
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Oregon,5-9 years,42,5412215,0.78
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Pennsylvania,1-4 years,57,13237901,0.43
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Pennsylvania,10-14 years,180,18713236,0.96
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Pennsylvania,15-19 years,294,20112434,1.46
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Pennsylvania,5-9 years,104,17378898,0.6000000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Rhode Island,10-14 years,16,1521467,1.05
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Rhode Island,< 1 year,0,263285,0
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),South Carolina,1-4 years,22,5226958,0.42000000000000004
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),South Carolina,10-14 years,72,7014106,1.03
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),South Carolina,15-19 years,93,7346855,1.27
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),South Carolina,5-9 years,62,6693916,0.9300000000000002
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),South Dakota,< 1 year,0,241934,0
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Tennessee,1-4 years,30,7296317,0.41
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Tennessee,10-14 years,87,9701894,0.9
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Tennessee,15-19 years,146,9750953,1.5
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Tennessee,5-9 years,64,9318316,0.6900000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Texas,1-4 years,193,34339586,0.5599999999999999
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Texas,10-14 years,393,43696950,0.9
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Texas,15-19 years,629,43234905,1.4500000000000002
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Texas,5-9 years,293,42752621,0.6900000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Texas,< 1 year,38,8575488,0.44000000000000006
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Utah,1-4 years,29,4441432,0.65
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Utah,10-14 years,64,5325797,1.2000000000000002
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Utah,15-19 years,73,5284552,1.3800000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Utah,5-9 years,52,5408434,0.96
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Vermont,1-4 years,0,587023,0
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Virginia,1-4 years,43,9152502,0.47000000000000003
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Virginia,10-14 years,116,12010591,0.97
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Virginia,15-19 years,169,12414081,1.36
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Virginia,5-9 years,80,11544105,0.6900000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Washington,1-4 years,55,7867141,0.7000000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Washington,10-14 years,104,10327779,1.01
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Washington,15-19 years,159,10378779,1.5300000000000002
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Washington,5-9 years,65,9996474,0.65
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),West Virginia,10-14 years,17,2539200,0.67
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),West Virginia,15-19 years,34,2702062,1.26
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),West Virginia,5-9 years,23,2397871,0.96
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Wisconsin,1-4 years,23,6332140,0.36000000000000004
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Wisconsin,10-14 years,65,8870911,0.73
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Wisconsin,15-19 years,146,9269366,1.58
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Wisconsin,5-9 years,53,8309592,0.6400000000000001
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Wyoming,< 1 year,0,161549,0
II(c) Burkitt lymphoma,Alabama,5-9 years,23,7009562,0.33
II(c) Burkitt lymphoma,Alaska,< 1 year,0,239124,0
II(c) Burkitt lymphoma,Arizona,1-4 years,16,7848058,0.2
II(c) Burkitt lymphoma,Arizona,10-14 years,21,10094587,0.21000000000000002
II(c) Burkitt lymphoma,Arizona,15-19 years,24,10095459,0.24
II(c) Burkitt lymphoma,Arizona,5-9 years,35,9792522,0.36000000000000004
II(c) Burkitt lymphoma,Arkansas,< 1 year,0,863216,0
II(c) Burkitt lymphoma,California,1-4 years,83,45553226,0.18000000000000002
II(c) Burkitt lymphoma,California,10-14 years,143,60367276,0.24
II(c) Burkitt lymphoma,California,15-19 years,135,60988865,0.22000000000000003
II(c) Burkitt lymphoma,California,5-9 years,160,57817061,0.27999999999999997
II(c) Burkitt lymphoma,Colorado,1-4 years,17,6020046,0.27999999999999997
II(c) Burkitt lymphoma,Colorado,10-14 years,20,7841777,0.26
II(c) Burkitt lymphoma,Colorado,15-19 years,26,7910284,0.33
II(c) Burkitt lymphoma,Colorado,5-9 years,28,7622280,0.37000000000000005
II(c) Burkitt lymphoma,Colorado,< 1 year,0,1492902,0
II(c) Burkitt lymphoma,Connecticut,10-14 years,23,5495849,0.42000000000000004
II(c) Burkitt lymphoma,Connecticut,15-19 years,20,5663881,0.35000000000000003
II(c) Burkitt lymphoma,Connecticut,5-9 years,18,5050886,0.36000000000000004
II(c) Burkitt lymphoma,Connecticut,< 1 year,0,887330,0
II(c) Burkitt lymphoma,Delaware,< 1 year,0,250143,0
II(c) Burkitt lymphoma,District of Columbia,< 1 year,0,187842,0
II(c) Burkitt lymphoma,Florida,1-4 years,62,19531010,0.32000000000000006
II(c) Burkitt lymphoma,Florida,10-14 years,72,26464457,0.27
II(c) Burkitt lymphoma,Florida,15-19 years,53,27141887,0.2
II(c) Burkitt lymphoma,Florida,5-9 years,97,24853995,0.39
II(c) Burkitt lymphoma,Georgia,1-4 years,23,12030233,0.19
II(c) Burkitt lymphoma,Georgia,10-14 years,34,15873183,0.21000000000000002
II(c) Burkitt lymphoma,Georgia,15-19 years,33,15860044,0.21000000000000002
II(c) Burkitt lymphoma,Georgia,5-9 years,49,15251004,0.32000000000000006
II(c) Burkitt lymphoma,Georgia,< 1 year,0,2996855,0
II(c) Burkitt lymphoma,Hawaii,< 1 year,0,405591,0
II(c) Burkitt lymphoma,Idaho,< 1 year,0,509756,0
II(c) Burkitt lymphoma,Illinois,1-4 years,31,15118124,0.21000000000000002
II(c) Burkitt lymphoma,Illinois,10-14 years,53,20314300,0.26
II(c) Burkitt lymphoma,Illinois,15-19 years,45,20552912,0.22000000000000003
II(c) Burkitt lymphoma,Illinois,5-9 years,43,19386015,0.22000000000000003
II(c) Burkitt lymphoma,Illinois,< 1 year,0,3722515,0
II(c) Burkitt lymphoma,Indiana,1-4 years,16,7153917,0.22000000000000003
II(c) Burkitt lymphoma,Indiana,10-14 years,30,9533841,0.31000000000000005
II(c) Burkitt lymphoma,Indiana,15-19 years,24,9778770,0.25
II(c) Burkitt lymphoma,Indiana,5-9 years,18,9181922,0.2
II(c) Burkitt lymphoma,Iowa,5-9 years,26,4589946,0.5700000000000001
II(c) Burkitt lymphoma,Iowa,< 1 year,0,882147,0
II(c) Burkitt lymphoma,Kansas,10-14 years,26,4648026,0.5599999999999999
II(c) Burkitt lymphoma,Kansas,5-9 years,19,4528480,0.42000000000000004
II(c) Burkitt lymphoma,Kansas,< 1 year,0,883860,0
II(c) Burkitt lymphoma,Kentucky,10-14 years,25,6602154,0.38
II(c) Burkitt lymphoma,Kentucky,15-19 years,20,6699792,0.30000000000000004
II(c) Burkitt lymphoma,Kentucky,5-9 years,34,6386273,0.53
II(c) Burkitt lymphoma,Kentucky,< 1 year,0,1256613,0
II(c) Burkitt lymphoma,Louisiana,15-19 years,23,7540189,0.31000000000000005
II(c) Burkitt lymphoma,Louisiana,5-9 years,23,7096224,0.32000000000000006
II(c) Burkitt lymphoma,Louisiana,< 1 year,0,1419731,0
II(c) Burkitt lymphoma,Maryland,5-9 years,22,8544521,0.26
II(c) Burkitt lymphoma,Maryland,< 1 year,0,1667470,0
II(c) Burkitt lymphoma,Massachusetts,1-4 years,16,6855880,0.22999999999999998
II(c) Burkitt lymphoma,Massachusetts,10-14 years,35,9547360,0.37000000000000005
II(c) Burkitt lymphoma,Massachusetts,15-19 years,31,10537941,0.29
II(c) Burkitt lymphoma,Massachusetts,5-9 years,30,8944247,0.34
II(c) Burkitt lymphoma,Massachusetts,< 1 year,0,1695265,0
II(c) Burkitt lymphoma,Michigan,1-4 years,26,11239256,0.22999999999999998
II(c) Burkitt lymphoma,Michigan,10-14 years,50,15899361,0.31000000000000005
II(c) Burkitt lymphoma,Michigan,15-19 years,42,16468910,0.26
II(c) Burkitt lymphoma,Michigan,5-9 years,58,14824040,0.39
II(c) Burkitt lymphoma,Michigan,< 1 year,0,2723190,0
II(c) Burkitt lymphoma,Minnesota,10-14 years,24,8473091,0.27999999999999997
II(c) Burkitt lymphoma,Minnesota,15-19 years,16,8600532,0.19
II(c) Burkitt lymphoma,Minnesota,5-9 years,32,8134262,0.39
II(c) Burkitt lymphoma,Minnesota,< 1 year,0,1570360,0
II(c) Burkitt lymphoma,Mississippi,< 1 year,0,741996,0
II(c) Burkitt lymphoma,Missouri,1-4 years,16,6903905,0.22999999999999998
II(c) Burkitt lymphoma,Missouri,10-14 years,25,9282197,0.27
II(c) Burkitt lymphoma,Missouri,5-9 years,28,8840403,0.32000000000000006
II(c) Burkitt lymphoma,Missouri,< 1 year,0,1715710,0
II(c) Burkitt lymphoma,Montana,< 1 year,0,268697,0
II(c) Burkitt lymphoma,Nebraska,< 1 year,0,585005,0
II(c) Burkitt lymphoma,Nevada,< 1 year,0,797109,0
II(c) Burkitt lymphoma,New Hampshire,< 1 year,0,306258,0
II(c) Burkitt lymphoma,New Jersey,1-4 years,26,10070580,0.26
II(c) Burkitt lymphoma,New Jersey,10-14 years,41,13700943,0.30000000000000004
II(c) Burkitt lymphoma,New Jersey,15-19 years,37,13405538,0.27999999999999997
II(c) Burkitt lymphoma,New Jersey,5-9 years,48,13015487,0.37000000000000005
II(c) Burkitt lymphoma,New Jersey,< 1 year,0,2461972,0
II(c) Burkitt lymphoma,New Mexico,< 1 year,0,606097,0
II(c) Burkitt lymphoma,New York,1-4 years,45,21659417,0.21000000000000002
II(c) Burkitt lymphoma,New York,10-14 years,79,28734343,0.27
II(c) Burkitt lymphoma,New York,15-19 years,74,30230461,0.24
II(c) Burkitt lymphoma,New York,5-9 years,107,27394347,0.39
II(c) Burkitt lymphoma,New York,< 1 year,0,5499284,0
II(c) Burkitt lymphoma,North Carolina,1-4 years,24,10909376,0.22000000000000003
II(c) Burkitt lymphoma,North Carolina,10-14 years,38,14407853,0.26
II(c) Burkitt lymphoma,North Carolina,15-19 years,28,14736669,0.19
II(c) Burkitt lymphoma,North Carolina,5-9 years,46,13869469,0.33
II(c) Burkitt lymphoma,North Carolina,< 1 year,0,2726561,0
II(c) Burkitt lymphoma,North Dakota,1-4 years,0,836898,0
II(c) Burkitt lymphoma,North Dakota,< 1 year,0,212671,0
II(c) Burkitt lymphoma,Ohio,1-4 years,33,13214951,0.25
II(c) Burkitt lymphoma,Ohio,10-14 years,59,18150108,0.33
II(c) Burkitt lymphoma,Ohio,15-19 years,53,18587275,0.29
II(c) Burkitt lymphoma,Ohio,5-9 years,60,17175827,0.35000000000000003
II(c) Burkitt lymphoma,Ohio,< 1 year,0,3238172,0
II(c) Burkitt lymphoma,Oklahoma,10-14 years,17,5972495,0.27999999999999997
II(c) Burkitt lymphoma,Oklahoma,5-9 years,25,5843456,0.43
II(c) Burkitt lymphoma,Oklahoma,< 1 year,0,1160149,0
II(c) Burkitt lymphoma,Oregon,10-14 years,17,5655555,0.30000000000000004
II(c) Burkitt lymphoma,Oregon,15-19 years,23,5791934,0.4
II(c) Burkitt lymphoma,Oregon,< 1 year,0,1028076,0
II(c) Burkitt lymphoma,Pennsylvania,1-4 years,24,13237901,0.18000000000000002
II(c) Burkitt lymphoma,Pennsylvania,10-14 years,61,18713236,0.33
II(c) Burkitt lymphoma,Pennsylvania,15-19 years,32,20112434,0.16000000000000003
II(c) Burkitt lymphoma,Pennsylvania,5-9 years,69,17378898,0.4
II(c) Burkitt lymphoma,Rhode Island,< 1 year,0,263285,0
II(c) Burkitt lymphoma,South Carolina,10-14 years,20,7014106,0.29
II(c) Burkitt lymphoma,South Carolina,5-9 years,20,6693916,0.30000000000000004
II(c) Burkitt lymphoma,South Carolina,< 1 year,0,1301660,0
II(c) Burkitt lymphoma,South Dakota,5-9 years,0,1185915,0
II(c) Burkitt lymphoma,South Dakota,< 1 year,0,241934,0
II(c) Burkitt lymphoma,Tennessee,1-4 years,17,7296317,0.22999999999999998
II(c) Burkitt lymphoma,Tennessee,10-14 years,18,9701894,0.19
II(c) Burkitt lymphoma,Tennessee,15-19 years,25,9750953,0.26
II(c) Burkitt lymphoma,Tennessee,5-9 years,27,9318316,0.29
II(c) Burkitt lymphoma,Tennessee,< 1 year,0,1816912,0
II(c) Burkitt lymphoma,Texas,1-4 years,74,34339586,0.22000000000000003
II(c) Burkitt lymphoma,Texas,10-14 years,101,43696950,0.22999999999999998
II(c) Burkitt lymphoma,Texas,15-19 years,78,43234905,0.18000000000000002
II(c) Burkitt lymphoma,Texas,5-9 years,104,42752621,0.24
II(c) Burkitt lymphoma,Utah,10-14 years,17,5325797,0.32000000000000006
II(c) Burkitt lymphoma,Utah,5-9 years,30,5408434,0.55
II(c) Burkitt lymphoma,Utah,< 1 year,0,1127988,0
II(c) Burkitt lymphoma,Vermont,< 1 year,0,139410,0
II(c) Burkitt lymphoma,Virginia,10-14 years,28,12010591,0.22999999999999998
II(c) Burkitt lymphoma,Virginia,5-9 years,32,11544105,0.27999999999999997
II(c) Burkitt lymphoma,Virginia,< 1 year,0,2292551,0
II(c) Burkitt lymphoma,Washington,1-4 years,20,7867141,0.25
II(c) Burkitt lymphoma,Washington,10-14 years,23,10327779,0.22000000000000003
II(c) Burkitt lymphoma,Washington,15-19 years,24,10378779,0.22999999999999998
II(c) Burkitt lymphoma,Washington,5-9 years,24,9996474,0.24
II(c) Burkitt lymphoma,Washington,< 1 year,0,1949932,0
II(c) Burkitt lymphoma,West Virginia,< 1 year,0,460029,0
II(c) Burkitt lymphoma,Wisconsin,1-4 years,22,6332140,0.35000000000000003
II(c) Burkitt lymphoma,Wisconsin,10-14 years,21,8870911,0.24
II(c) Burkitt lymphoma,Wisconsin,15-19 years,26,9269366,0.27999999999999997
II(c) Burkitt lymphoma,Wisconsin,5-9 years,30,8309592,0.36000000000000004
II(c) Burkitt lymphoma,Wisconsin,< 1 year,0,1547673,0
II(c) Burkitt lymphoma,Wyoming,5-9 years,0,830117,0
II(c) Burkitt lymphoma,Wyoming,< 1 year,0,161549,0
II(d) Miscellaneous lymphoreticular neoplasms,Alaska,15-19 years,0,1168656,0
II(d) Miscellaneous lymphoreticular neoplasms,Arizona,1-4 years,47,7848058,0.6000000000000001
II(d) Miscellaneous lymphoreticular neoplasms,Arizona,10-14 years,21,10094587,0.21000000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Arizona,5-9 years,30,9792522,0.31000000000000005
II(d) Miscellaneous lymphoreticular neoplasms,Arizona,< 1 year,29,1945031,1.4900000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Arkansas,1-4 years,18,3472397,0.52
II(d) Miscellaneous lymphoreticular neoplasms,California,1-4 years,251,45553226,0.55
II(d) Miscellaneous lymphoreticular neoplasms,California,10-14 years,102,60367276,0.17
II(d) Miscellaneous lymphoreticular neoplasms,California,15-19 years,59,60988865,0.1
II(d) Miscellaneous lymphoreticular neoplasms,California,5-9 years,142,57817061,0.25
II(d) Miscellaneous lymphoreticular neoplasms,California,< 1 year,164,11344110,1.4500000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Colorado,1-4 years,31,6020046,0.51
II(d) Miscellaneous lymphoreticular neoplasms,Colorado,10-14 years,16,7841777,0.2
II(d) Miscellaneous lymphoreticular neoplasms,Colorado,5-9 years,21,7622280,0.27999999999999997
II(d) Miscellaneous lymphoreticular neoplasms,Colorado,< 1 year,18,1492902,1.21
II(d) Miscellaneous lymphoreticular neoplasms,Connecticut,1-4 years,23,3732294,0.6200000000000001
II(d) Miscellaneous lymphoreticular neoplasms,Delaware,15-19 years,0,1411125,0
II(d) Miscellaneous lymphoreticular neoplasms,District of Columbia,5-9 years,0,711036,0
II(d) Miscellaneous lymphoreticular neoplasms,Florida,1-4 years,80,19531010,0.41
II(d) Miscellaneous lymphoreticular neoplasms,Florida,10-14 years,52,26464457,0.2
II(d) Miscellaneous lymphoreticular neoplasms,Florida,15-19 years,27,27141887,0.1
II(d) Miscellaneous lymphoreticular neoplasms,Florida,5-9 years,60,24853995,0.24
II(d) Miscellaneous lymphoreticular neoplasms,Florida,< 1 year,51,4872286,1.05
II(d) Miscellaneous lymphoreticular neoplasms,Georgia,1-4 years,47,12030233,0.39
II(d) Miscellaneous lymphoreticular neoplasms,Georgia,10-14 years,34,15873183,0.21000000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Georgia,15-19 years,16,15860044,0.1
II(d) Miscellaneous lymphoreticular neoplasms,Georgia,5-9 years,40,15251004,0.26
II(d) Miscellaneous lymphoreticular neoplasms,Georgia,< 1 year,16,2996855,0.53
II(d) Miscellaneous lymphoreticular neoplasms,Hawaii,1-4 years,16,1581086,1.01
II(d) Miscellaneous lymphoreticular neoplasms,Illinois,1-4 years,75,15118124,0.5
II(d) Miscellaneous lymphoreticular neoplasms,Illinois,10-14 years,42,20314300,0.21000000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Illinois,15-19 years,29,20552912,0.13999999999999999
II(d) Miscellaneous lymphoreticular neoplasms,Illinois,5-9 years,42,19386015,0.22000000000000003
II(d) Miscellaneous lymphoreticular neoplasms,Illinois,< 1 year,45,3722515,1.21
II(d) Miscellaneous lymphoreticular neoplasms,Indiana,1-4 years,36,7153917,0.5
II(d) Miscellaneous lymphoreticular neoplasms,Indiana,10-14 years,16,9533841,0.17
II(d) Miscellaneous lymphoreticular neoplasms,Indiana,5-9 years,21,9181922,0.22999999999999998
II(d) Miscellaneous lymphoreticular neoplasms,Kansas,1-4 years,19,3564818,0.53
II(d) Miscellaneous lymphoreticular neoplasms,Kentucky,1-4 years,30,5029496,0.6000000000000001
II(d) Miscellaneous lymphoreticular neoplasms,Kentucky,10-14 years,19,6602154,0.29
II(d) Miscellaneous lymphoreticular neoplasms,Kentucky,5-9 years,20,6386273,0.31000000000000005
II(d) Miscellaneous lymphoreticular neoplasms,Louisiana,1-4 years,23,5667613,0.41
II(d) Miscellaneous lymphoreticular neoplasms,Maine,15-19 years,0,2008427,0
II(d) Miscellaneous lymphoreticular neoplasms,Maryland,1-4 years,20,6696858,0.30000000000000004
II(d) Miscellaneous lymphoreticular neoplasms,Maryland,5-9 years,23,8544521,0.27
II(d) Miscellaneous lymphoreticular neoplasms,Massachusetts,1-4 years,31,6855880,0.45
II(d) Miscellaneous lymphoreticular neoplasms,Massachusetts,10-14 years,17,9547360,0.18000000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Massachusetts,5-9 years,16,8944247,0.18000000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Michigan,1-4 years,50,11239256,0.44000000000000006
II(d) Miscellaneous lymphoreticular neoplasms,Michigan,10-14 years,29,15899361,0.18000000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Michigan,15-19 years,21,16468910,0.13
II(d) Miscellaneous lymphoreticular neoplasms,Michigan,5-9 years,25,14824040,0.17
II(d) Miscellaneous lymphoreticular neoplasms,Michigan,< 1 year,25,2723190,0.9199999999999999
II(d) Miscellaneous lymphoreticular neoplasms,Minnesota,1-4 years,39,6364337,0.61
II(d) Miscellaneous lymphoreticular neoplasms,Minnesota,10-14 years,31,8473091,0.37000000000000005
II(d) Miscellaneous lymphoreticular neoplasms,Minnesota,15-19 years,17,8600532,0.2
II(d) Miscellaneous lymphoreticular neoplasms,Minnesota,5-9 years,31,8134262,0.38
II(d) Miscellaneous lymphoreticular neoplasms,Minnesota,< 1 year,29,1570360,1.85
II(d) Miscellaneous lymphoreticular neoplasms,Missouri,1-4 years,26,6903905,0.38
II(d) Miscellaneous lymphoreticular neoplasms,Missouri,10-14 years,20,9282197,0.22000000000000003
II(d) Miscellaneous lymphoreticular neoplasms,Missouri,5-9 years,19,8840403,0.21000000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Missouri,< 1 year,24,1715710,1.4000000000000001
II(d) Miscellaneous lymphoreticular neoplasms,Montana,< 1 year,0,268697,0
II(d) Miscellaneous lymphoreticular neoplasms,New Jersey,1-4 years,47,10070580,0.47000000000000003
II(d) Miscellaneous lymphoreticular neoplasms,New Jersey,10-14 years,23,13700943,0.17
II(d) Miscellaneous lymphoreticular neoplasms,New Jersey,5-9 years,34,13015487,0.26
II(d) Miscellaneous lymphoreticular neoplasms,New Jersey,< 1 year,40,2461972,1.62
II(d) Miscellaneous lymphoreticular neoplasms,New York,1-4 years,116,21659417,0.54
II(d) Miscellaneous lymphoreticular neoplasms,New York,10-14 years,35,28734343,0.12
II(d) Miscellaneous lymphoreticular neoplasms,New York,15-19 years,33,30230461,0.11000000000000001
II(d) Miscellaneous lymphoreticular neoplasms,New York,5-9 years,74,27394347,0.27
II(d) Miscellaneous lymphoreticular neoplasms,New York,< 1 year,75,5499284,1.36
II(d) Miscellaneous lymphoreticular neoplasms,North Carolina,1-4 years,38,10909376,0.35000000000000003
II(d) Miscellaneous lymphoreticular neoplasms,North Carolina,10-14 years,19,14407853,0.13
II(d) Miscellaneous lymphoreticular neoplasms,North Carolina,5-9 years,39,13869469,0.27999999999999997
II(d) Miscellaneous lymphoreticular neoplasms,North Carolina,< 1 year,21,2726561,0.77
II(d) Miscellaneous lymphoreticular neoplasms,Ohio,1-4 years,52,13214951,0.39
II(d) Miscellaneous lymphoreticular neoplasms,Ohio,10-14 years,31,18150108,0.17
II(d) Miscellaneous lymphoreticular neoplasms,Ohio,5-9 years,45,17175827,0.26
II(d) Miscellaneous lymphoreticular neoplasms,Ohio,< 1 year,32,3238172,0.9900000000000001
II(d) Miscellaneous lymphoreticular neoplasms,Oklahoma,1-4 years,25,4644900,0.54
II(d) Miscellaneous lymphoreticular neoplasms,Oregon,1-4 years,34,4209979,0.81
II(d) Miscellaneous lymphoreticular neoplasms,Oregon,5-9 years,16,5412215,0.30000000000000004
II(d) Miscellaneous lymphoreticular neoplasms,Oregon,< 1 year,20,1028076,1.9500000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Pennsylvania,1-4 years,57,13237901,0.43
II(d) Miscellaneous lymphoreticular neoplasms,Pennsylvania,10-14 years,29,18713236,0.15000000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Pennsylvania,15-19 years,17,20112434,0.08000000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Pennsylvania,5-9 years,34,17378898,0.2
II(d) Miscellaneous lymphoreticular neoplasms,Pennsylvania,< 1 year,45,3241258,1.3900000000000001
II(d) Miscellaneous lymphoreticular neoplasms,Rhode Island,1-4 years,0,1081993,0
II(d) Miscellaneous lymphoreticular neoplasms,South Carolina,1-4 years,18,5226958,0.34
II(d) Miscellaneous lymphoreticular neoplasms,South Dakota,5-9 years,0,1185915,0
II(d) Miscellaneous lymphoreticular neoplasms,Tennessee,1-4 years,37,7296317,0.51
II(d) Miscellaneous lymphoreticular neoplasms,Tennessee,10-14 years,22,9701894,0.22999999999999998
II(d) Miscellaneous lymphoreticular neoplasms,Tennessee,< 1 year,17,1816912,0.9400000000000001
II(d) Miscellaneous lymphoreticular neoplasms,Texas,1-4 years,235,34339586,0.68
II(d) Miscellaneous lymphoreticular neoplasms,Texas,10-14 years,109,43696950,0.25
II(d) Miscellaneous lymphoreticular neoplasms,Texas,15-19 years,55,43234905,0.13
II(d) Miscellaneous lymphoreticular neoplasms,Texas,5-9 years,163,42752621,0.38
II(d) Miscellaneous lymphoreticular neoplasms,Texas,< 1 year,141,8575488,1.64
II(d) Miscellaneous lymphoreticular neoplasms,Utah,1-4 years,26,4441432,0.5900000000000001
II(d) Miscellaneous lymphoreticular neoplasms,Utah,5-9 years,18,5408434,0.33
II(d) Miscellaneous lymphoreticular neoplasms,Virginia,1-4 years,36,9152502,0.39
II(d) Miscellaneous lymphoreticular neoplasms,Virginia,5-9 years,20,11544105,0.17
II(d) Miscellaneous lymphoreticular neoplasms,Virginia,< 1 year,33,2292551,1.4400000000000002
II(d) Miscellaneous lymphoreticular neoplasms,Washington,1-4 years,35,7867141,0.44000000000000006
II(d) Miscellaneous lymphoreticular neoplasms,Washington,10-14 years,21,10327779,0.2
II(d) Miscellaneous lymphoreticular neoplasms,Washington,5-9 years,27,9996474,0.27
II(d) Miscellaneous lymphoreticular neoplasms,Washington,< 1 year,19,1949932,0.97
II(d) Miscellaneous lymphoreticular neoplasms,Wisconsin,1-4 years,27,6332140,0.43
II(d) Miscellaneous lymphoreticular neoplasms,Wisconsin,10-14 years,18,8870911,0.2
II(d) Miscellaneous lymphoreticular neoplasms,Wisconsin,5-9 years,19,8309592,0.22999999999999998
II(d) Miscellaneous lymphoreticular neoplasms,Wisconsin,< 1 year,22,1547673,1.42
II(d) Miscellaneous lymphoreticular neoplasms,Wyoming,15-19 years,0,891664,0
II(e) Unspecified lymphomas,Alabama,1-4 years,0,5469476,0
II(e) Unspecified lymphomas,Alabama,< 1 year,0,1361419,0
II(e) Unspecified lymphomas,Alaska,1-4 years,0,937213,0
II(e) Unspecified lymphomas,Alaska,5-9 years,0,1166606,0
II(e) Unspecified lymphomas,Alaska,< 1 year,0,239124,0
II(e) Unspecified lymphomas,Arizona,< 1 year,0,1945031,0
II(e) Unspecified lymphomas,Arkansas,1-4 years,0,3472397,0
II(e) Unspecified lymphomas,Arkansas,10-14 years,0,4554311,0
II(e) Unspecified lymphomas,California,15-19 years,32,60988865,0.05
II(e) Unspecified lymphomas,California,< 1 year,0,11344110,0
II(e) Unspecified lymphomas,Colorado,1-4 years,0,6020046,0
II(e) Unspecified lymphomas,Connecticut,1-4 years,0,3732294,0
II(e) Unspecified lymphomas,Connecticut,10-14 years,0,5495849,0
II(e) Unspecified lymphomas,Connecticut,< 1 year,0,887330,0
II(e) Unspecified lymphomas,Delaware,1-4 years,0,1000685,0
II(e) Unspecified lymphomas,Delaware,10-14 years,0,1333659,0
II(e) Unspecified lymphomas,Delaware,5-9 years,0,1272824,0
II(e) Unspecified lymphomas,Delaware,< 1 year,0,250143,0
II(e) Unspecified lymphomas,District of Columbia,1-4 years,0,655965,0
II(e) Unspecified lymphomas,District of Columbia,15-19 years,0,870744,0
