cancer_site,state,race,count,population,crude_rate_100k,crude_rate_per_100k
I(a) Lymphoid leukemias,Illinois,Asian or Pacific Islander,144,3895866,3.7,3.7
I(b) Acute myeloid leukemias,Illinois,Asian or Pacific Islander,29,3895866,0.7400000000000001,0.74
II Lymphoma and reticuloendothelial neoplasms,Illinois,Asian or Pacific Islander,99,3895866,2.54,2.54
II(a) Hodgkin lymphomas,Illinois,Asian or Pacific Islander,37,3895866,0.9500000000000001,0.95
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Illinois,Asian or Pacific Islander,40,3895866,1.03,1.03
III CNS and misc intracranial and intraspinal neoplasms,Illinois,Asian or Pacific Islander,86,3895866,2.2100000000000004,2.21
III(b) Astrocytomas,Illinois,Asian or Pacific Islander,33,3895866,0.8500000000000001,0.85
III(c) Intracranial and intraspinal embryonal tumors,Illinois,Asian or Pacific Islander,26,3895866,0.67,0.67
III(d) Other gliomas,Illinois,Asian or Pacific Islander,16,3895866,0.41,0.41
IV Sympathetic nervous system tumors,Illinois,Asian or Pacific Islander,26,3895866,0.67,0.67
IV(a) Neuroblastoma and ganglioneuroblastoma,Illinois,Asian or Pacific Islander,26,3895866,0.67,0.67
V Retinoblastoma,Illinois,Asian or Pacific Islander,16,3895866,0.41,0.41
VI Renal tumors,Illinois,Asian or Pacific Islander,19,3895866,0.49000000000000005,0.49
VIII Malignant bone tumors,Illinois,Asian or Pacific Islander,24,3895866,0.6200000000000001,0.62
IX Soft-tissue sarcomas,Illinois,Asian or Pacific Islander,26,3895866,0.67,0.67
"X Germ-cell, trophoblastic and other gonadal neoplasms",Illinois,Asian or Pacific Islander,45,3895866,1.16,1.16
X(c) Malignant gonadal germ cell tumors,Illinois,Asian or Pacific Islander,23,3895866,0.5900000000000001,0.59
XI Carcinomas and other malignant epithelial neoplasms,Illinois,Asian or Pacific Islander,69,3895866,1.77,1.77
XI(b) Thyroid carcinomas,Illinois,Asian or Pacific Islander,43,3895866,1.1,1.1
XI(f) Other and unspecified carcinomas,Illinois,Asian or Pacific Islander,19,3895866,0.49000000000000005,0.49
I Leukemia,Illinois,Black or African American,399,14728640,2.7100000000000004,2.71
I(a) Lymphoid leukemias,Illinois,Black or African American,245,14728640,1.6600000000000001,1.66
I(b) Acute myeloid leukemias,Illinois,Black or African American,104,14728640,0.71,0.71
I(c) Chronic myeloproliferative diseases,Illinois,Black or African American,28,14728640,0.19,0.19
II Lymphoma and reticuloendothelial neoplasms,Illinois,Black or African American,329,14728640,2.23,2.23
II(a) Hodgkin lymphomas,Illinois,Black or African American,146,14728640,0.9900000000000001,0.99
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Illinois,Black or African American,153,14728640,1.04,1.04
III CNS and misc intracranial and intraspinal neoplasms,Illinois,Black or African American,295,14728640,2,2
III(a) Ependymomas and choroid plexus tumor,Illinois,Black or African American,29,14728640,0.2,0.2
III(b) Astrocytomas,Illinois,Black or African American,144,14728640,0.9800000000000001,0.98
III(c) Intracranial and intraspinal embryonal tumors,Illinois,Black or African American,52,14728640,0.35000000000000003,0.35
III(d) Other gliomas,Illinois,Black or African American,46,14728640,0.31000000000000005,0.31
III(e) Other specified intracranial/intraspinal neoplasms,Illinois,Black or African American,19,14728640,0.13,0.13
IV Sympathetic nervous system tumors,Illinois,Black or African American,94,14728640,0.6400000000000001,0.64
IV(a) Neuroblastoma and ganglioneuroblastoma,Illinois,Black or African American,90,14728640,0.61,0.61
V Retinoblastoma,Illinois,Black or African American,51,14728640,0.35000000000000003,0.35
VI Renal tumors,Illinois,Black or African American,115,14728640,0.78,0.78
VI(a) Nephroblastoma and other nonepithelial renal tumors,Illinois,Black or African American,99,14728640,0.67,0.67
VII Hepatic tumor,Illinois,Black or African American,21,14728640,0.13999999999999999,0.14
VIII Malignant bone tumors,Illinois,Black or African American,96,14728640,0.65,0.65
VIII(a) Osteosarcomas,Illinois,Black or African American,86,14728640,0.58,0.58
IX Soft-tissue sarcomas,Illinois,Black or African American,184,14728640,1.25,1.25
IX(a) Rhabdomyosarcomas,Illinois,Black or African American,69,14728640,0.47000000000000003,0.47
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Illinois,Black or African American,25,14728640,0.17,0.17
IX(d) Other specified soft tissue sarcomas,Illinois,Black or African American,65,14728640,0.44000000000000006,0.44
IX(e) Unspecified soft tissue sarcomas,Illinois,Black or African American,23,14728640,0.16000000000000003,0.16
"X Germ-cell, trophoblastic and other gonadal neoplasms",Illinois,Black or African American,100,14728640,0.68,0.68
X(a) Intracranial & intraspinal germ cell tumors,Illinois,Black or African American,21,14728640,0.13999999999999999,0.14
X(b) Extracranial & extragonadal germ cell tumors,Illinois,Black or African American,21,14728640,0.13999999999999999,0.14
X(c) Malignant gonadal germ cell tumors,Illinois,Black or African American,42,14728640,0.29,0.29
XI Carcinomas and other malignant epithelial neoplasms,Illinois,Black or African American,153,14728640,1.04,1.04
XI(b) Thyroid carcinomas,Illinois,Black or African American,47,14728640,0.32000000000000006,0.32
XI(c) Nasopharyngeal carcinomas,Illinois,Black or African American,23,14728640,0.16000000000000003,0.16
XI(f) Other and unspecified carcinomas,Illinois,Black or African American,77,14728640,0.52,0.52
I Leukemia,Illinois,White,3030,59895851,5.0600000000000005,5.06
I(a) Lymphoid leukemias,Illinois,White,2294,59895851,3.83,3.83
I(b) Acute myeloid leukemias,Illinois,White,493,59895851,0.82,0.82
I(c) Chronic myeloproliferative diseases,Illinois,White,106,59895851,0.18000000000000002,0.18
I(d) Myelodysplastic syndrome and other myeloproliferative,Illinois,White,71,59895851,0.12,0.12
I(e) Unspecified and other specified leukemias,Illinois,White,66,59895851,0.11000000000000001,0.11
II Lymphoma and reticuloendothelial neoplasms,Illinois,White,1760,59895851,2.94,2.94
II(a) Hodgkin lymphomas,Illinois,White,818,59895851,1.37,1.37
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Illinois,White,572,59895851,0.9500000000000001,0.95
II(c) Burkitt lymphoma,Illinois,White,144,59895851,0.24,0.24
II(d) Miscellaneous lymphoreticular neoplasms,Illinois,White,206,59895851,0.34,0.34
II(e) Unspecified lymphomas,Illinois,White,20,59895851,0.03,0.03
III CNS and misc intracranial and intraspinal neoplasms,Illinois,White,1810,59895851,3.02,3.02
III(a) Ependymomas and choroid plexus tumor,Illinois,White,149,59895851,0.25,0.25
III(b) Astrocytomas,Illinois,White,934,59895851,1.56,1.56
III(c) Intracranial and intraspinal embryonal tumors,Illinois,White,385,59895851,0.6400000000000001,0.64
III(d) Other gliomas,Illinois,White,301,59895851,0.5,0.5
III(e) Other specified intracranial/intraspinal neoplasms,Illinois,White,26,59895851,0.04000000000000001,0.04
IV Sympathetic nervous system tumors,Illinois,White,560,59895851,0.9300000000000002,0.93
IV(a) Neuroblastoma and ganglioneuroblastoma,Illinois,White,544,59895851,0.91,0.91
IV(b) Other peripheral nervous cell tumors,Illinois,White,16,59895851,0.03,0.03
V Retinoblastoma,Illinois,White,161,59895851,0.27,0.27
VI Renal tumors,Illinois,White,342,59895851,0.5700000000000001,0.57
VI(a) Nephroblastoma and other nonepithelial renal tumors,Illinois,White,318,59895851,0.53,0.53
VI(b) Renal carcinomas,Illinois,White,23,59895851,0.04000000000000001,0.04
VII Hepatic tumor,Illinois,White,144,59895851,0.24,0.24
VII(a) Hepatoblastoma,Illinois,White,116,59895851,0.19,0.19
VII(b) Hepatic carcinomas,Illinois,White,28,59895851,0.05,0.05
VIII Malignant bone tumors,Illinois,White,547,59895851,0.91,0.91
VIII(a) Osteosarcomas,Illinois,White,305,59895851,0.51,0.51
VIII(c) Ewing tumor and related sarcomas of bone,Illinois,White,197,59895851,0.33,0.33
VIII(d) Other specified malignant bone tumors,Illinois,White,27,59895851,0.05,0.05
IX Soft-tissue sarcomas,Illinois,White,699,59895851,1.17,1.17
IX(a) Rhabdomyosarcomas,Illinois,White,267,59895851,0.45,0.45
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Illinois,White,53,59895851,0.09000000000000001,0.09
IX(d) Other specified soft tissue sarcomas,Illinois,White,278,59895851,0.45999999999999996,0.46
IX(e) Unspecified soft tissue sarcomas,Illinois,White,97,59895851,0.16000000000000003,0.16
"X Germ-cell, trophoblastic and other gonadal neoplasms",Illinois,White,802,59895851,1.34,1.34
X(a) Intracranial & intraspinal germ cell tumors,Illinois,White,118,59895851,0.2,0.2
X(b) Extracranial & extragonadal germ cell tumors,Illinois,White,77,59895851,0.13,0.13
X(c) Malignant gonadal germ cell tumors,Illinois,White,575,59895851,0.96,0.96
X(d) Gonadal carcinomas,Illinois,White,25,59895851,0.04000000000000001,0.04
XI Carcinomas and other malignant epithelial neoplasms,Illinois,White,1370,59895851,2.29,2.29
XI(b) Thyroid carcinomas,Illinois,White,672,59895851,1.1199999999999999,1.12
XI(d) Malignant melanomas,Illinois,White,300,59895851,0.5,0.5
XI(f) Other and unspecified carcinomas,Illinois,White,369,59895851,0.6200000000000001,0.62
XII Other and unspecified malignant neoplasms,Illinois,White,43,59895851,0.06999999999999999,0.07
XII(a) Other specified malignant tumors,Illinois,White,32,59895851,0.05,0.05
I Leukemia,Indiana,Asian or Pacific Islander,34,763377,4.45,4.45
I(a) Lymphoid leukemias,Indiana,Asian or Pacific Islander,24,763377,3.14,3.14
III CNS and misc intracranial and intraspinal neoplasms,Indiana,Asian or Pacific Islander,17,763377,2.23,2.23
I Leukemia,Indiana,Black or African American,112,4779016,2.34,2.34
I(a) Lymphoid leukemias,Indiana,Black or African American,64,4779016,1.34,1.34
I(b) Acute myeloid leukemias,Indiana,Black or African American,30,4779016,0.63,0.63
II Lymphoma and reticuloendothelial neoplasms,Indiana,Black or African American,115,4779016,2.41,2.41
II(a) Hodgkin lymphomas,Indiana,Black or African American,48,4779016,1,1
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Indiana,Black or African American,53,4779016,1.11,1.11
III CNS and misc intracranial and intraspinal neoplasms,Indiana,Black or African American,127,4779016,2.66,2.66
III(b) Astrocytomas,Indiana,Black or African American,49,4779016,1.03,1.03
III(c) Intracranial and intraspinal embryonal tumors,Indiana,Black or African American,23,4779016,0.48,0.48
III(d) Other gliomas,Indiana,Black or African American,36,4779016,0.75,0.75
IV Sympathetic nervous system tumors,Indiana,Black or African American,29,4779016,0.61,0.61
IV(a) Neuroblastoma and ganglioneuroblastoma,Indiana,Black or African American,29,4779016,0.61,0.61
VI Renal tumors,Indiana,Black or African American,50,4779016,1.05,1.05
VI(a) Nephroblastoma and other nonepithelial renal tumors,Indiana,Black or African American,40,4779016,0.8400000000000001,0.84
VIII Malignant bone tumors,Indiana,Black or African American,37,4779016,0.77,0.77
VIII(a) Osteosarcomas,Indiana,Black or African American,29,4779016,0.61,0.61
IX Soft-tissue sarcomas,Indiana,Black or African American,48,4779016,1,1
IX(a) Rhabdomyosarcomas,Indiana,Black or African American,21,4779016,0.44000000000000006,0.44
"X Germ-cell, trophoblastic and other gonadal neoplasms",Indiana,Black or African American,29,4779016,0.61,0.61
XI Carcinomas and other malignant epithelial neoplasms,Indiana,Black or African American,33,4779016,0.6900000000000001,0.69
XI(f) Other and unspecified carcinomas,Indiana,Black or African American,16,4779016,0.33,0.33
I Leukemia,Indiana,White,1429,31693184,4.510000000000001,4.51
I(a) Lymphoid leukemias,Indiana,White,1071,31693184,3.38,3.38
I(b) Acute myeloid leukemias,Indiana,White,255,31693184,0.8,0.8
I(c) Chronic myeloproliferative diseases,Indiana,White,43,31693184,0.13999999999999999,0.14
I(d) Myelodysplastic syndrome and other myeloproliferative,Indiana,White,37,31693184,0.12,0.12
I(e) Unspecified and other specified leukemias,Indiana,White,23,31693184,0.06999999999999999,0.07
II Lymphoma and reticuloendothelial neoplasms,Indiana,White,902,31693184,2.85,2.85
II(a) Hodgkin lymphomas,Indiana,White,457,31693184,1.4400000000000002,1.44
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Indiana,White,276,31693184,0.87,0.87
II(c) Burkitt lymphoma,Indiana,White,82,31693184,0.26,0.26
II(d) Miscellaneous lymphoreticular neoplasms,Indiana,White,81,31693184,0.26,0.26
III CNS and misc intracranial and intraspinal neoplasms,Indiana,White,1106,31693184,3.49,3.49
III(a) Ependymomas and choroid plexus tumor,Indiana,White,86,31693184,0.27,0.27
III(b) Astrocytomas,Indiana,White,564,31693184,1.7800000000000002,1.78
III(c) Intracranial and intraspinal embryonal tumors,Indiana,White,213,31693184,0.67,0.67
III(d) Other gliomas,Indiana,White,211,31693184,0.67,0.67
III(e) Other specified intracranial/intraspinal neoplasms,Indiana,White,25,31693184,0.08000000000000002,0.08
IV Sympathetic nervous system tumors,Indiana,White,331,31693184,1.04,1.04
IV(a) Neuroblastoma and ganglioneuroblastoma,Indiana,White,324,31693184,1.02,1.02
V Retinoblastoma,Indiana,White,77,31693184,0.24,0.24
VI Renal tumors,Indiana,White,226,31693184,0.71,0.71
VI(a) Nephroblastoma and other nonepithelial renal tumors,Indiana,White,201,31693184,0.63,0.63
VI(b) Renal carcinomas,Indiana,White,25,31693184,0.08000000000000002,0.08
VII Hepatic tumor,Indiana,White,88,31693184,0.27999999999999997,0.28
VII(a) Hepatoblastoma,Indiana,White,72,31693184,0.22999999999999998,0.23
VII(b) Hepatic carcinomas,Indiana,White,16,31693184,0.05,0.05
VIII Malignant bone tumors,Indiana,White,311,31693184,0.9800000000000001,0.98
VIII(a) Osteosarcomas,Indiana,White,155,31693184,0.49000000000000005,0.49
VIII(c) Ewing tumor and related sarcomas of bone,Indiana,White,128,31693184,0.4,0.4
IX Soft-tissue sarcomas,Indiana,White,386,31693184,1.22,1.22
IX(a) Rhabdomyosarcomas,Indiana,White,162,31693184,0.51,0.51
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Indiana,White,51,31693184,0.16000000000000003,0.16
IX(d) Other specified soft tissue sarcomas,Indiana,White,131,31693184,0.41,0.41
IX(e) Unspecified soft tissue sarcomas,Indiana,White,42,31693184,0.13,0.13
"X Germ-cell, trophoblastic and other gonadal neoplasms",Indiana,White,338,31693184,1.07,1.07
X(a) Intracranial & intraspinal germ cell tumors,Indiana,White,55,31693184,0.17,0.17
X(b) Extracranial & extragonadal germ cell tumors,Indiana,White,52,31693184,0.16000000000000003,0.16
X(c) Malignant gonadal germ cell tumors,Indiana,White,213,31693184,0.67,0.67
XI Carcinomas and other malignant epithelial neoplasms,Indiana,White,587,31693184,1.85,1.85
XI(b) Thyroid carcinomas,Indiana,White,258,31693184,0.81,0.81
XI(d) Malignant melanomas,Indiana,White,153,31693184,0.48,0.48
XI(f) Other and unspecified carcinomas,Indiana,White,154,31693184,0.49000000000000005,0.49
XII Other and unspecified malignant neoplasms,Indiana,White,26,31693184,0.08000000000000002,0.08
XII(a) Other specified malignant tumors,Indiana,White,20,31693184,0.06,0.06
I Leukemia,Iowa,Black or African American,31,1098633,2.8200000000000003,2.82
I(a) Lymphoid leukemias,Iowa,Black or African American,21,1098633,1.9100000000000001,1.91
II Lymphoma and reticuloendothelial neoplasms,Iowa,Black or African American,24,1098633,2.18,2.18
III CNS and misc intracranial and intraspinal neoplasms,Iowa,Black or African American,25,1098633,2.2800000000000002,2.28
IX Soft-tissue sarcomas,Iowa,Black or African American,20,1098633,1.82,1.82
I Leukemia,Iowa,White,751,17212442,4.36,4.36
I(a) Lymphoid leukemias,Iowa,White,551,17212442,3.2,3.2
I(b) Acute myeloid leukemias,Iowa,White,134,17212442,0.78,0.78
I(c) Chronic myeloproliferative diseases,Iowa,White,37,17212442,0.21000000000000002,0.21
I(d) Myelodysplastic syndrome and other myeloproliferative,Iowa,White,20,17212442,0.12,0.12
II Lymphoma and reticuloendothelial neoplasms,Iowa,White,461,17212442,2.68,2.68
II(a) Hodgkin lymphomas,Iowa,White,214,17212442,1.2400000000000002,1.24
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Iowa,White,160,17212442,0.9300000000000002,0.93
II(c) Burkitt lymphoma,Iowa,White,49,17212442,0.27999999999999997,0.28
II(d) Miscellaneous lymphoreticular neoplasms,Iowa,White,36,17212442,0.21000000000000002,0.21
III CNS and misc intracranial and intraspinal neoplasms,Iowa,White,597,17212442,3.4700000000000006,3.47
III(a) Ependymomas and choroid plexus tumor,Iowa,White,37,17212442,0.21000000000000002,0.21
III(b) Astrocytomas,Iowa,White,316,17212442,1.8399999999999999,1.84
III(c) Intracranial and intraspinal embryonal tumors,Iowa,White,120,17212442,0.7000000000000001,0.7
III(d) Other gliomas,Iowa,White,107,17212442,0.6200000000000001,0.62
IV Sympathetic nervous system tumors,Iowa,White,139,17212442,0.81,0.81
IV(a) Neuroblastoma and ganglioneuroblastoma,Iowa,White,134,17212442,0.78,0.78
V Retinoblastoma,Iowa,White,45,17212442,0.26,0.26
VI Renal tumors,Iowa,White,110,17212442,0.6400000000000001,0.64
VI(a) Nephroblastoma and other nonepithelial renal tumors,Iowa,White,105,17212442,0.61,0.61
VII Hepatic tumor,Iowa,White,48,17212442,0.27999999999999997,0.28
VII(a) Hepatoblastoma,Iowa,White,41,17212442,0.24,0.24
VIII Malignant bone tumors,Iowa,White,198,17212442,1.1500000000000001,1.15
VIII(a) Osteosarcomas,Iowa,White,90,17212442,0.52,0.52
VIII(c) Ewing tumor and related sarcomas of bone,Iowa,White,90,17212442,0.52,0.52
IX Soft-tissue sarcomas,Iowa,White,213,17212442,1.2400000000000002,1.24
IX(a) Rhabdomyosarcomas,Iowa,White,71,17212442,0.41,0.41
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Iowa,White,30,17212442,0.17,0.17
IX(d) Other specified soft tissue sarcomas,Iowa,White,93,17212442,0.54,0.54
IX(e) Unspecified soft tissue sarcomas,Iowa,White,19,17212442,0.11000000000000001,0.11
"X Germ-cell, trophoblastic and other gonadal neoplasms",Iowa,White,212,17212442,1.2300000000000002,1.23
X(a) Intracranial & intraspinal germ cell tumors,Iowa,White,23,17212442,0.13,0.13
X(b) Extracranial & extragonadal germ cell tumors,Iowa,White,30,17212442,0.17,0.17
X(c) Malignant gonadal germ cell tumors,Iowa,White,148,17212442,0.86,0.86
XI Carcinomas and other malignant epithelial neoplasms,Iowa,White,413,17212442,2.4000000000000004,2.4
XI(b) Thyroid carcinomas,Iowa,White,164,17212442,0.9500000000000001,0.95
XI(d) Malignant melanomas,Iowa,White,131,17212442,0.76,0.76
XI(f) Other and unspecified carcinomas,Iowa,White,109,17212442,0.63,0.63
I Leukemia,Kansas,Asian or Pacific Islander,19,545740,3.48,3.48
I Leukemia,Kansas,Black or African American,45,1649790,2.7300000000000004,2.73
I(a) Lymphoid leukemias,Kansas,Black or African American,27,1649790,1.64,1.64
II Lymphoma and reticuloendothelial neoplasms,Kansas,Black or African American,34,1649790,2.06,2.06
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Kansas,Black or African American,17,1649790,1.03,1.03
III CNS and misc intracranial and intraspinal neoplasms,Kansas,Black or African American,42,1649790,2.5500000000000003,2.55
III(b) Astrocytomas,Kansas,Black or African American,22,1649790,1.33,1.33
VI Renal tumors,Kansas,Black or African American,16,1649790,0.97,0.97
IX Soft-tissue sarcomas,Kansas,Black or African American,26,1649790,1.58,1.58
XI Carcinomas and other malignant epithelial neoplasms,Kansas,Black or African American,18,1649790,1.09,1.09
I Leukemia,Kansas,White,703,15894920,4.420000000000001,4.42
I(a) Lymphoid leukemias,Kansas,White,506,15894920,3.18,3.18
I(b) Acute myeloid leukemias,Kansas,White,117,15894920,0.7400000000000001,0.74
I(c) Chronic myeloproliferative diseases,Kansas,White,35,15894920,0.22000000000000003,0.22
I(d) Myelodysplastic syndrome and other myeloproliferative,Kansas,White,28,15894920,0.18000000000000002,0.18
I(e) Unspecified and other specified leukemias,Kansas,White,17,15894920,0.11000000000000001,0.11
II Lymphoma and reticuloendothelial neoplasms,Kansas,White,434,15894920,2.7300000000000004,2.73
II(a) Hodgkin lymphomas,Kansas,White,184,15894920,1.16,1.16
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Kansas,White,128,15894920,0.81,0.81
II(c) Burkitt lymphoma,Kansas,White,59,15894920,0.37000000000000005,0.37
II(d) Miscellaneous lymphoreticular neoplasms,Kansas,White,56,15894920,0.35000000000000003,0.35
III CNS and misc intracranial and intraspinal neoplasms,Kansas,White,462,15894920,2.91,2.91
III(a) Ependymomas and choroid plexus tumor,Kansas,White,42,15894920,0.26,0.26
III(b) Astrocytomas,Kansas,White,242,15894920,1.52,1.52
III(c) Intracranial and intraspinal embryonal tumors,Kansas,White,80,15894920,0.5,0.5
III(d) Other gliomas,Kansas,White,79,15894920,0.5,0.5
IV Sympathetic nervous system tumors,Kansas,White,139,15894920,0.87,0.87
IV(a) Neuroblastoma and ganglioneuroblastoma,Kansas,White,136,15894920,0.86,0.86
V Retinoblastoma,Kansas,White,38,15894920,0.24,0.24
VI Renal tumors,Kansas,White,100,15894920,0.63,0.63
VI(a) Nephroblastoma and other nonepithelial renal tumors,Kansas,White,94,15894920,0.5900000000000001,0.59
VII Hepatic tumor,Kansas,White,43,15894920,0.27,0.27
VII(a) Hepatoblastoma,Kansas,White,37,15894920,0.22999999999999998,0.23
VIII Malignant bone tumors,Kansas,White,153,15894920,0.96,0.96
VIII(a) Osteosarcomas,Kansas,White,75,15894920,0.47000000000000003,0.47
VIII(c) Ewing tumor and related sarcomas of bone,Kansas,White,70,15894920,0.44000000000000006,0.44
IX Soft-tissue sarcomas,Kansas,White,165,15894920,1.04,1.04
IX(a) Rhabdomyosarcomas,Kansas,White,66,15894920,0.42000000000000004,0.42
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Kansas,White,18,15894920,0.11000000000000001,0.11
IX(d) Other specified soft tissue sarcomas,Kansas,White,62,15894920,0.39,0.39
IX(e) Unspecified soft tissue sarcomas,Kansas,White,19,15894920,0.12,0.12
"X Germ-cell, trophoblastic and other gonadal neoplasms",Kansas,White,180,15894920,1.1300000000000001,1.13
X(a) Intracranial & intraspinal germ cell tumors,Kansas,White,20,15894920,0.13,0.13
X(b) Extracranial & extragonadal germ cell tumors,Kansas,White,22,15894920,0.13999999999999999,0.14
X(c) Malignant gonadal germ cell tumors,Kansas,White,120,15894920,0.75,0.75
XI Carcinomas and other malignant epithelial neoplasms,Kansas,White,352,15894920,2.2100000000000004,2.21
XI(b) Thyroid carcinomas,Kansas,White,154,15894920,0.97,0.97
XI(d) Malignant melanomas,Kansas,White,99,15894920,0.6200000000000001,0.62
XI(f) Other and unspecified carcinomas,Kansas,White,88,15894920,0.55,0.55
I Leukemia,Kentucky,Asian or Pacific Islander,21,419686,5,5
I Leukemia,Kentucky,Black or African American,77,2804327,2.75,2.75
I(a) Lymphoid leukemias,Kentucky,Black or African American,42,2804327,1.5,1.5
I(b) Acute myeloid leukemias,Kentucky,Black or African American,24,2804327,0.86,0.86
II Lymphoma and reticuloendothelial neoplasms,Kentucky,Black or African American,61,2804327,2.18,2.18
II(a) Hodgkin lymphomas,Kentucky,Black or African American,23,2804327,0.82,0.82
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Kentucky,Black or African American,29,2804327,1.03,1.03
III CNS and misc intracranial and intraspinal neoplasms,Kentucky,Black or African American,87,2804327,3.1,3.1
III(b) Astrocytomas,Kentucky,Black or African American,47,2804327,1.6800000000000002,1.68
III(d) Other gliomas,Kentucky,Black or African American,17,2804327,0.61,0.61
IV Sympathetic nervous system tumors,Kentucky,Black or African American,18,2804327,0.6400000000000001,0.64
IV(a) Neuroblastoma and ganglioneuroblastoma,Kentucky,Black or African American,18,2804327,0.6400000000000001,0.64
VI Renal tumors,Kentucky,Black or African American,23,2804327,0.82,0.82
VI(a) Nephroblastoma and other nonepithelial renal tumors,Kentucky,Black or African American,21,2804327,0.75,0.75
VIII Malignant bone tumors,Kentucky,Black or African American,21,2804327,0.75,0.75
VIII(a) Osteosarcomas,Kentucky,Black or African American,18,2804327,0.6400000000000001,0.64
IX Soft-tissue sarcomas,Kentucky,Black or African American,27,2804327,0.96,0.96
"X Germ-cell, trophoblastic and other gonadal neoplasms",Kentucky,Black or African American,21,2804327,0.75,0.75
XI Carcinomas and other malignant epithelial neoplasms,Kentucky,Black or African American,30,2804327,1.07,1.07
I Leukemia,Kentucky,White,1006,22674574,4.44,4.44
I(a) Lymphoid leukemias,Kentucky,White,753,22674574,3.3200000000000003,3.32
I(b) Acute myeloid leukemias,Kentucky,White,158,22674574,0.7000000000000001,0.7
I(c) Chronic myeloproliferative diseases,Kentucky,White,43,22674574,0.19,0.19
I(d) Myelodysplastic syndrome and other myeloproliferative,Kentucky,White,26,22674574,0.11000000000000001,0.11
I(e) Unspecified and other specified leukemias,Kentucky,White,26,22674574,0.11000000000000001,0.11
II Lymphoma and reticuloendothelial neoplasms,Kentucky,White,672,22674574,2.9600000000000004,2.96
II(a) Hodgkin lymphomas,Kentucky,White,311,22674574,1.37,1.37
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Kentucky,White,193,22674574,0.8500000000000001,0.85
II(c) Burkitt lymphoma,Kentucky,White,88,22674574,0.39,0.39
II(d) Miscellaneous lymphoreticular neoplasms,Kentucky,White,73,22674574,0.32000000000000006,0.32
III CNS and misc intracranial and intraspinal neoplasms,Kentucky,White,862,22674574,3.8000000000000003,3.8
III(a) Ependymomas and choroid plexus tumor,Kentucky,White,56,22674574,0.25,0.25
III(b) Astrocytomas,Kentucky,White,464,22674574,2.0500000000000003,2.05
III(c) Intracranial and intraspinal embryonal tumors,Kentucky,White,147,22674574,0.65,0.65
III(d) Other gliomas,Kentucky,White,177,22674574,0.78,0.78
IV Sympathetic nervous system tumors,Kentucky,White,226,22674574,1,1
IV(a) Neuroblastoma and ganglioneuroblastoma,Kentucky,White,223,22674574,0.9800000000000001,0.98
V Retinoblastoma,Kentucky,White,81,22674574,0.36000000000000004,0.36
VI Renal tumors,Kentucky,White,149,22674574,0.66,0.66
VI(a) Nephroblastoma and other nonepithelial renal tumors,Kentucky,White,135,22674574,0.6000000000000001,0.6
VII Hepatic tumor,Kentucky,White,72,22674574,0.32000000000000006,0.32
VII(a) Hepatoblastoma,Kentucky,White,51,22674574,0.22000000000000003,0.22
VII(b) Hepatic carcinomas,Kentucky,White,21,22674574,0.09000000000000001,0.09
VIII Malignant bone tumors,Kentucky,White,204,22674574,0.9,0.9
VIII(a) Osteosarcomas,Kentucky,White,108,22674574,0.48,0.48
VIII(c) Ewing tumor and related sarcomas of bone,Kentucky,White,76,22674574,0.34,0.34
IX Soft-tissue sarcomas,Kentucky,White,244,22674574,1.08,1.08
IX(a) Rhabdomyosarcomas,Kentucky,White,88,22674574,0.39,0.39
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Kentucky,White,26,22674574,0.11000000000000001,0.11
IX(d) Other specified soft tissue sarcomas,Kentucky,White,100,22674574,0.44000000000000006,0.44
IX(e) Unspecified soft tissue sarcomas,Kentucky,White,30,22674574,0.13,0.13
"X Germ-cell, trophoblastic and other gonadal neoplasms",Kentucky,White,257,22674574,1.1300000000000001,1.13
X(a) Intracranial & intraspinal germ cell tumors,Kentucky,White,32,22674574,0.13999999999999999,0.14
X(b) Extracranial & extragonadal germ cell tumors,Kentucky,White,36,22674574,0.16000000000000003,0.16
X(c) Malignant gonadal germ cell tumors,Kentucky,White,168,22674574,0.7400000000000001,0.74
XI Carcinomas and other malignant epithelial neoplasms,Kentucky,White,532,22674574,2.35,2.35
XI(b) Thyroid carcinomas,Kentucky,White,254,22674574,1.1199999999999999,1.12
XI(d) Malignant melanomas,Kentucky,White,112,22674574,0.49000000000000005,0.49
XI(f) Other and unspecified carcinomas,Kentucky,White,149,22674574,0.66,0.66
